AtlasCourseId,CourseReference,DORSCourseIdentifier,DORSForceContractIdentifier,AtlasVenueId,VenueName,DORSSiteIdentifier,CourseStartDateAndTime,CourseEndDateAndTime,CourseType,CourseEnabled,DORSSChemeName,DORSSchemeIdentifier,Notes
5766,DT149E,2667864,639,16,Morrison Trust Darlington,626,2017-11-16 17:00,2017-11-16 21:00,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Oct  5 2017  8:26AM BY: Amanda Thomas  Client Name: Mr EDWARD MCLAFFERTY, Id: 62820 - transferred into this course from course Id: 5578  ------------------------------------  ,NOTE ADDED: Oct  5 2017  8:26AM BY: Amanda Thomas    ------------------------------------  "
5690,DC93A,2666956,639,18,Signature,708,2017-11-16 13:30,2017-11-16 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5733,ST697A,2666965,634,9,Durham Tees Valley Business Centre,709,2017-11-16 13:30,2017-11-16 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5689,DC93,2666955,639,18,Signature,708,2017-11-16 08:30,2017-11-16 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Oct  5 2017 10:16AM BY: Ellie Sumpton  Client Name: Calum Taylor, Id: 64703 - transferred into this course from course Id: 5636  ------------------------------------  ,NOTE ADDED: Oct  5 2017 10:16AM BY: Ellie Sumpton    ------------------------------------  "
5732,ST697,2666964,634,9,Durham Tees Valley Business Centre,709,2017-11-16 08:30,2017-11-16 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Oct  5 2017  8:41AM BY: Ellie Sumpton  Client Name: Ms Ashleigh Hedley, Id: 64949 - transferred out of this course on to Course Id: 5746  ------------------------------------  ,NOTE ADDED: Oct  5 2017  8:41AM BY: Ellie Sumpton    ------------------------------------  "
5731,MB1151A,2666963,634,24,TAD Centre,152,2017-11-15 13:30,2017-11-15 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 29 2017  9:25AM BY: Ellie Sumpton  Client Name: Helen Di Salvo, Id: 64695 - transferred into this course from course Id: 5641  ------------------------------------  ,NOTE ADDED: Sep 29 2017  9:25AM BY: Ellie Sumpton    ------------------------------------  "
5730,MB1151,2666962,634,24,TAD Centre,152,2017-11-15 08:30,2017-11-15 12:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,NULL
5759,ST696E,2667008,634,9,Durham Tees Valley Business Centre,709,2017-11-14 16:45,2017-11-14 20:45,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 25 2017  8:29AM BY: LCrossman  Client Name: Mrs Carol Boland, Id: 64835 - transferred into this course from course Id: 5636  ------------------------------------  ,NOTE ADDED: Sep 25 2017  8:29AM BY: LCrossman    ------------------------------------  ,NOTE ADDED: Sep 25 2017 10:25AM BY: Ellie Sumpton  Client Name: Mrs Jill Harrison, Id: 61569 - transferred into this course from course Id: 5509  ------------------------------------  ,NOTE ADDED: Sep 25 2017 10:25AM BY: Ellie Sumpton    ------------------------------------  ,NOTE ADDED: Sep 25 2017  2:51PM BY: LCrossman  Client Name: Saira Trenholm, Id: 64792 - transferred into this course from course Id: 5637  ------------------------------------  ,NOTE ADDED: Sep 25 2017  2:51PM BY: LCrossman    ------------------------------------  ,NOTE ADDED: Oct  3 2017  9:30AM BY: Joanne Coulter  Client Name: Mr Garth Parker, Id: 64443 - transferred into this course from course Id: 5589  ------------------------------------  ,NOTE ADDED: Oct  3 2017  9:30AM BY: Joanne Coulter    ------------------------------------  ,NOTE ADDED: Oct  4 2017  3:47PM BY: Ellie Sumpton  Client Name: Mrs Jill Harrison, Id: 61569 - transferred out of this course on to Course Id: 5757  ------------------------------------  ,NOTE ADDED: Oct  4 2017  3:47PM BY: Ellie Sumpton    ------------------------------------  ,NOTE ADDED: Oct  6 2017  9:45AM BY: LCrossman  Client Name: Mr Jorden McCord, Id: 63438 - transferred into this course from course Id: 5595  ------------------------------------  ,NOTE ADDED: Oct  6 2017  9:45AM BY: LCrossman    ------------------------------------  "
5688,PL102A,2666954,639,27,The Pavillion Peterlee,625,2017-11-14 13:30,2017-11-14 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 27 2017  1:26PM BY: LCrossman  Client Name: NORMAN, Id: 61743 - transferred into this course from course Id: 5525  ------------------------------------  ,NOTE ADDED: Sep 27 2017  1:26PM BY: LCrossman    ------------------------------------  ,NOTE ADDED: Sep 28 2017 11:49AM BY: Joanne Coulter  Client Name: Mary Elliot, Id: 61506 - transferred into this course from course Id: 5602  ------------------------------------  ,NOTE ADDED: Sep 28 2017 11:49AM BY: Joanne Coulter    ------------------------------------  ,NOTE ADDED: Oct  6 2017  8:54AM BY: Ellie Sumpton  Client Name: Miss Amy Bulmer, Id: 64238 - transferred into this course from course Id: 5653  ------------------------------------  ,NOTE ADDED: Oct  6 2017  8:54AM BY: Ellie Sumpton    ------------------------------------  ,NOTE ADDED: Oct  6 2017  1:24PM BY: Sam Foster  Client Name: Christopher Walton, Id: 63546 - transferred into this course from course Id: 5653  ------------------------------------  ,NOTE ADDED: Oct  6 2017  1:24PM BY: Sam Foster    ------------------------------------  "
5729,MB1150A,2666961,634,24,TAD Centre,152,2017-11-14 13:30,2017-11-14 17:30,National Speed Awareness Course,YES,National Speed Awareness Course,2,"NOTE ADDED: Sep 25 2017  9:52AM BY: Ellie Sumpton  Client Name: Ms Emma Tomlinson, Id: 61984 - transferred into this course from course Id: 5619  ------------------------------------  ,NOTE ADDED: Sep 25 2017  9:52AM BY: Ellie Sumpton    ------------------------------------  ,NOTE ADDED: Sep 29 2017 10:29AM BY: Amanda Thomas  Client Name: Sadiq Alormasor, Id: 63374 - transferred into this course from course Id: 5577  ------------------------------------  ,NOTE ADDED: Sep 29 2017 10:29AM BY: Amanda Thomas    ------------------------------------  ,NOTE ADDED: Oct  4 2017  2:23PM BY: Amanda Thomas  Client Name: Mr Michael Fowler, Id: 64567 - transferred into this course from course Id: 5716  ------------------------------------  ,NOTE ADDED: Oct  4 2017  2:23PM BY: Amanda Thomas    ------------------------------------  "
